Respondent ID,Tell us about your classroom,Latitude,Longitude,Buildings Name
6nj2f6wy6mt4,I hate classrooms with no windows and no nice views.,34.72819,-86.641254,Business Administration Building
8sw7yco8oea3,"Tech Hall is dated, and some classrooms boggle the mind in how awful they are. S105 and N168 come to mind for the horrible seats, lack of writing areas, bad smell, and well-positioned columns between students and the professor.",34.728206,-86.641441,Business Administration Building
2lzs7766puu9,"BAB- not enough room between chairs and long row tables, too cramped",34.728217,-86.641496,Business Administration Building
7x6agt7fty3s,"There’s nothing wrong with the BAB, I just like going into the nursing building and Wilson better. Also, it is always hot in the BAB.",34.728238,-86.641302,Business Administration Building
9vg38c9h4xes,I had one class here 3 years ago and it was very hot upstairs and there was wasps in class sometimes. not cool,34.728264,-86.641501,Business Administration Building
42ysm4lg8xfa,Usually run down. very cramped. Some spaces are not friendly to left handed students.,34.728344,-86.64146,Business Administration Building
9lz3v4it3jb6,"Charger Union is the perfect place because it is in the middle of everything, there are places to eat if we get hungry and games to play if we get bored. Library rooms are also good, when we need to focus a lot.",34.727178,-86.639775,Charger Union
9l6uwb4vhb8a,"I think the Morton renovations make the space look modern, but it's not effacement for studying AT ALL in the hallway sections because the table and chair heights in the halls are not an optimal height for studying with a laptop. I do like the classrooms, but they are almost always occupied for classes which only leaves the halls. Overall it has a nice atmosphere but it was not ergonomically designed for studying at all. The Charger Union has some good seats but the tables and chairs in the middle of the building are not close to outlets which I find is a big problem considering the other seats are always occupied.",34.726994,-86.640199,Charger Union
2kjw7ge4udw4,Too many people,34.727125,-86.640007,Charger Union
7rrm2pyh22z4,"All ESS/AES department people usually reside in this building, making it easy for having classes and meetings in the same day and place.",34.724689,-86.645032,Cramer Research Hall
2sy7ahf3cwy4,I love the Morton classrooms because they have so much light coming in. It doesn't feel stifling in there.,34.72471,-86.645127,Cramer Research Hall
9xnz4c9cpx64,It works well for my meteorology classes,34.724903,-86.64512,Cramer Research Hall
3vx984p3xng3,Research and classes,34.72557,-86.646238,Cramer Research Hall
93hcd38pg628,They’re kinda outdated and the whole building is a maze,34.724657,-86.645091,Cramer Research Hall
4xxo6vkx79k6,"Dark, dingy, and gross",34.724716,-86.640563,Cramer Research Hall
2cs7vd6rfl23,Very outdated buildings for Olin B. King and Wilson. Parking is unbearable when having classes at Shelby.,34.72482,-86.640447,Cramer Research Hall
689zaf8l6ne7,"Shelby is bland and boring, Cramer is a windowless prison with a bunch of screens",34.724833,-86.64502,Cramer Research Hall
4u9ekv4ixe83,"No windows, short ceiling",34.725078,-86.645005,Cramer Research Hall
2kjw7ge4udw4,I can be left alone,34.722708,-86.640569,Engineering Building
9a2fol6uph68,"outdated classrooms, no dry erase boards, only chalkboards, no seating for larger persons",34.722468,-86.640577,Engineering Building
6fo7zzv84yy3,Old and outdated style,34.722525,-86.640675,Engineering Building
4de34pco2lf9,"Uncomfortable chairs/desks, projectors fail frequently, hard to see from the back of the classroom",34.722531,-86.640299,Engineering Building
7tz9l334s9t8,These areas either lack sufficient space for current demand or need renovating.,34.722533,-86.640484,Engineering Building
9nb8osd76lm8,Rooms are very dated and cramped.,34.722533,-86.640623,Engineering Building
9dh3hpx3ehg3,"SST has a lot of the old style of classrooms, those desk chairs have never been comfortable to me. In addition, the large lecture halls have way too thin of seats, which compounds the uncomfortableness when you add in the tiny folding desks.",34.72254,-86.640451,Engineering Building
8am48edu8nma,Looks like an asylum took notes from a morgue.,34.722544,-86.640684,Engineering Building
2vm868x6bm43,The engineering builidng is soooo old.,34.722549,-86.640599,Engineering Building
7mp64frb6yx3,Tech Hall and EB look retrofitted to hold students and they are cramped.,34.722549,-86.640644,Engineering Building
6k2wy6ecw884,"Outdated technology, feels like I’ll get asbestos from the ceiling. The air conditioning system is so outdated (on/off) in rooms and can’t maintain the temperature which in unacceptable in AL summers. It is embarrassing to go to an engineering focused school and call this our engineering building.",34.72255,-86.640218,Engineering Building
6e4zvz3hv2t7,The classrooms feel dated and off-putting,34.722552,-86.640468,Engineering Building
7b6sat4jrt87,It's old and dingy with lots of muted colors that make you feel apathetic.,34.722553,-86.640463,Engineering Building
8kw788yd8od4,The Engineering Building seems outdated.,34.722554,-86.640622,Engineering Building
8n4s7s49nsc7,Old desks often uncomfortable,34.722556,-86.640395,Engineering Building
9ee4xrh3ktr6,"These classrooms have the worst lighting and the worst access to amenities (wall outlets, water stations, etc)",34.722577,-86.638326,Engineering Building
9jjb9f7shm43,It smells like wet dog.,34.722581,-86.640655,Engineering Building
87zot2hvk3ls,Lack of windows/natural light very prison like,34.722584,-86.640476,Engineering Building
9bl3fwf7r4r4,"The rooms in OKT and the Engineering Building leave a lot to be desired. These two buildings are primarily used by largest college on campus, and yet they are the most outdated and least helpful for learning. I am very happy to see that a new engineering building is underway, and I think the very next building in need of a renovation is OKT.",34.722585,-86.640473,Engineering Building
7xpe7tyr2r49,"Old, problems with places to plug in laptops",34.722586,-86.640694,Engineering Building
7row3s8djg69,The ones in Engineering building because they’re cramped and ancient,34.722594,-86.640206,Engineering Building
4c6ksi7jzd44,Rusty appearance,34.722595,-86.640557,Engineering Building
6t36gl6s7mr6,No outlets/poor desk space,34.722597,-86.640493,Engineering Building
4zv6ewh2m9a4,Classrooms need updating,34.722601,-86.64037,Engineering Building
6cc6h4uma698,"Engineering - I swear ENG physically fatigues me. I suspect there’s poor ventilation & this CO2, but I haven’t tested that. Shelby has CO2 monitors, idk if they are actually used though.",34.722602,-86.640666,Engineering Building
29u4hd63o9f3,Old,34.722607,-86.640582,Engineering Building
4z4tow4dhf64,"They feel dark, uncormfortable, and they sometimes smell weird.",34.722607,-86.640598,Engineering Building
3ck7xya8ljk9,"They are old, and often, the buildings and classrooms have no outside visibility.",34.722608,-86.640436,Engineering Building
8ni8vm8ne8v4,Falling apart.,34.722609,-86.640498,Engineering Building
6wf7h2cbp434,"A combination of a lack of natural light, old maze-like buildings, and small desks",34.722609,-86.64072,Engineering Building
9pnb6svh2yza,Old and no light,34.722614,-86.640354,Engineering Building
79sgk3gmb333,"the building is just so old, dark, small",34.722617,-86.640451,Engineering Building
88c6rus36cga,The place look and feels sad,34.722617,-86.640594,Engineering Building
9ue6blv3g4f6,The building and the rooms all feel old.,34.722619,-86.640447,Engineering Building
2a2fy34oeh99,"old, uncomfortable seating, outdated",34.72262,-86.640468,Engineering Building
94u7swn7gzk4,"These classrooms do not have the best technology, and can be hard to find classroom numbers.",34.722623,-86.640188,Engineering Building
2tf9prt49jca,The classrooms are rundown.,34.722629,-86.640496,Engineering Building
8p4ek8vxc384,"The classrooms in Engineering are out of date. Optics lacks proper space for labs, I had to do one of my physics labs in a hallway. Morton is a far walk but it's classrooms are nice. Tech Hall is also a far walk with out of date/ cramped classrooms.",34.722631,-86.640556,Engineering Building
6s6t7og4hz67,The atmosphere is depressing. ENG has asbestos in it... wtf? The equipment sucks.,34.722632,-86.640526,Engineering Building
73o6x987j3z7,The rooms they let COS use are crusty,34.722632,-86.640601,Engineering Building
7ix6fjv4hd39,ROB is just hot temp.,34.722632,-86.640601,Engineering Building
6b6lh3yb7fwa,"Old, dingy",34.722633,-86.640431,Engineering Building
8tw9zjv2gt73,It feels confined,34.722635,-86.640458,Engineering Building
3gi6thu2ahh8,"The classrooms are small, somewhat dim, and seem run-down.",34.722636,-86.640558,Engineering Building
4ap6uod9pwz3,"Uncomfortable desks and some larger classrooms have seating with a small pull out surface to write on, and darker classrooms with little to no natural light.",34.722637,-86.640611,Engineering Building
66e4d4fzo3z4,Tech Hall classrooms don't feel very welcoming in my opinion and are typically pretty crowded. It's also unfortunate that there are no food options currently in the building and also the classrooms tend to have a bad smell to them.,34.722644,-86.640541,Engineering Building
2y7ezs8tp9k8,"it looks like a prison get me out, too small, which makes crowded, which makes overheated",34.722645,-86.640515,Engineering Building
9cj4nb738ic8,"Wilson feels like I'm in an a building post-apocalypse. Roberts Hall just feels old. And the engineering as known by most students, feels like a prison and is so draining of life-it literally looks like death on the inside.",34.722648,-86.64047,Engineering Building
99d2uji2cdr9,"Barely any windows or no natural lighting, feels dark",34.722652,-86.640568,Engineering Building
89v7psl7cdj6,"Everything is old and dusty, at least the few classrooms I've been in",34.722654,-86.640463,Engineering Building
39npr9hr9ds9,"Difficulty to get to, lack of food nearby.",34.722656,-86.640518,Engineering Building
2vm868x6bm43,The engineering builidng is soooo old.,34.722658,-86.640163,Engineering Building
3vm2nbj4tzw6,Old and outdated,34.722662,-86.640368,Engineering Building
9l7b74a7hwy8,Typically there is some structural item in the classrooms that block the view to the instructor and the screens.,34.722662,-86.640743,Engineering Building
9h682f8jy269,Very out of date. New building will fix this but pretty disappointing having a useless Engineering building for my entire undergraduate.,34.722668,-86.640533,Engineering Building
7nd7cff9nxg3,They are poorly lit and depressing.,34.722669,-86.640613,Engineering Building
9xnz4c9cpx64,Small desks,34.72268,-86.640876,Engineering Building
8ws88t7kjg7a,Outdated,34.722683,-86.640258,Engineering Building
98nvh3omb2xx,Dim and out-dated looking.,34.722692,-86.6404,Engineering Building
7hz7p6zil244,sst the half desks are horrid,34.722694,-86.640582,Engineering Building
3dx2xdg3jzu4,Ugly and old,34.722694,-86.640591,Engineering Building
6u7ngg3tb8la,The equipment for labs didn’t work typically and also the doors have been broken for years.,34.722702,-86.638527,Engineering Building
36rjb3n8wdc9,This or OTK. Just need updates badly,34.722702,-86.640822,Engineering Building
4ui9jez83uta,It’s all old and rundown.,34.722704,-86.640376,Engineering Building
8oh2ppb7uuj4,They are very old and enclosed,34.72271,-86.638496,Engineering Building
7rp8apa8gxj6,"It feels like a dungeon. It's dark, not enough outlets, some corners smell",34.722717,-86.640603,Engineering Building
7lc2g7ufg7v7,I took one class in the Material Science building and it was dark and I never wanted to be in there also a rather far walk from my dorm at the time considering I can only park in my residential parking lot.,34.722719,-86.638555,Engineering Building
9py7kpa8jtw4,Outdated and inconvenient/awkward,34.722724,-86.640511,Engineering Building
7nl8rdc9s2n3,"The engineering building is old, has leaky pipes and the windows are small. The rooms are rather depressing",34.722724,-86.640722,Engineering Building
2vo8old3pbc6,Older and worn. Paint and flooring would help.,34.722725,-86.640545,Engineering Building
9pnb6svh2yza,Old and no light,34.72273,-86.638506,Engineering Building
46ued3tn7v67,Chairs are too high and unconfortable.,34.72273,-86.63851,Engineering Building
3zt3wro9nxc2,"The classes have auditorium seating so you’re too close to people and the desks are small, columns in the middle of the classroom (N155, S105 in tech hall), there aren’t many windows.",34.722732,-86.64052,Engineering Building
6xk77vng4ms9,The seating arrangements are extremely outdated. We sit in desks made for middle schoolers. Most of us have a hard time fitting into the desks comfortably for 1.5 hours at a time.,34.72274,-86.640545,Engineering Building
2vm868x6bm43,The engineering builidng is soooo old.,34.72275,-86.640645,Engineering Building
2vm868x6bm43,The engineering builidng is soooo old.,34.722753,-86.640485,Engineering Building
8p4ek8vxc384,"The classrooms in Engineering are out of date. Optics lacks proper space for labs, I had to do one of my physics labs in a hallway. Morton is a far walk but it's classrooms are nice. Tech Hall is also a far walk with out of date/ cramped classrooms.",34.722755,-86.638602,Engineering Building
2y2jjg9jjh87,"Roberts always felt kinda cramped, dim, and rain would always puddle by the doors (especially the music practice room side).",34.722761,-86.638501,Engineering Building
6ye8z7yb82k4,they’re dark and dingy,34.722783,-86.638317,Engineering Building
3dlg4alg3hip,Class is always hot in winter and freezing in summer,34.722783,-86.640404,Engineering Building
93yn3wdo6uu9,I feel like I am in a cardboard box. Absolutely trapped.,34.722784,-86.640698,Engineering Building
9py7kpa8jtw4,Outdated and inconvenient/awkward,34.722785,-86.6406,Engineering Building
4yx7kwh66lt8,Far from commuter parking and residence halls in general.,34.722789,-86.638375,Engineering Building
3bb4he2i34oa,These buildings are old and the lecture rooms in OKT are small.,34.722806,-86.640607,Engineering Building
2amt43hus4u6,Lack of parking,34.722817,-86.638471,Engineering Building
3ck7xya8ljk9,"They are old, and often, the buildings and classrooms have no outside visibility.",34.722848,-86.638489,Engineering Building
2m8i6jlw3fv4,feels older or too far,34.722857,-86.638592,Engineering Building
7ix6fjv4hd39,ROB is just hot temp.,34.722924,-86.638653,Engineering Building
9y46oua6t2l8,"If feels older and stuffy, unlike other building.",34.722925,-86.640359,Engineering Building
6pl7yec6xee3,Engineering building because of the nostalgia. Excited about the new building,,,Engineering Building
73o6x987j3z7,Plenty of space and work space,34.721895,-86.638041,Material Science Building
6cko7ruo8gva,Building has a lot of relevent needs for my study area. I've only had one class here but I liked the feel of the room (even if the desk could hardly fit one notebook on them).,34.721926,-86.638135,Material Science Building
4te6owv86l24,accessibility,34.722102,-86.638275,Material Science Building
6jo4ps89egu8,Because they are big and you have enough room,34.722103,-86.638247,Material Science Building
7a2eb43c2vm6,"plenty of natural light in the hallways, and plenty of places for study groups.",34.722265,-86.638286,Material Science Building
74han3ihg3ta,its close to my lab and office,34.72267,-86.64056,Material Science Building
9rv2k2262kr4,Several engineering classes.,34.722683,-86.640462,Material Science Building
76li6gno6bx3,Material Science Building-- though its a long walk I enjoy the quiet atmosphere,,,Material Science Building
3sm4lu3kex67,The classrooms are dark so it is hard to see and hard not to fall asleep in,34.721925,-86.638131,Material Science Building
9dh3hpx3ehg3,"SST has a lot of the old style of classrooms, those desk chairs have never been comfortable to me. In addition, the large lecture halls have way too thin of seats, which compounds the uncomfortableness when you add in the tiny folding desks.",34.721926,-86.638135,Material Science Building
4ib6c8xir3l8,No lighting and they feel close. 1st floor SST has loud lecture hall chairs and cramped feeling rooms.,34.721957,-86.638082,Material Science Building
4js2yx7hju64,No natural lighting in the classrooms. The chairs are not comfortable.,34.721973,-86.638128,Material Science Building
7fx2u8doa2d9,The BAB and the MSB are old and cold. Dreary as well,34.722003,-86.638129,Material Science Building
2te9ejz7dh24,The desks are outdated and the lecture halls use older technology that make it more difficult to stay engaged,34.722009,-86.638094,Material Science Building
7itp6ttf2v36,No windows. Like being in a cave,34.722012,-86.638217,Material Science Building
3dk6tnv9hnw7,"Quite a distance away, limited parking options.",34.722018,-86.638247,Material Science Building
3bub6d73dbc3,"The “art” on the walls of Morton make me uncomfortable. The classrooms at MSB are small, cold, and uninviting",34.722021,-86.6384,Material Science Building
9ac9ukz3nox7,Classrooms feel dark and dingey. Like being in prison.,34.72203,-86.638418,Material Science Building
8ko4x9hss9la,some feel like a dungeon,34.722046,-86.638047,Material Science Building
3ck2vf2x93f6,Incredibly far away. Often have classes that go from Morton to Optics which is highly annoying.,34.722061,-86.638275,Material Science Building
4uw3mzi2cis3,The science building rooms usually have a slightly odd smell with old uncomfortable chairs and are a lot more cramped than the rest of what I have seen.,34.722072,-86.638079,Material Science Building
78woa4lw8go3,"Old, Difficult to find (numbering system) , Usually has a smell",34.722073,-86.6382,Material Science Building
2vo8old3pbc6,Older and worn. Paint and flooring would help.,34.722103,-86.638172,Material Science Building
7ep6via92s44,They’re gross and small,34.722124,-86.638167,Material Science Building
4re37jer7bsj,"When the classroom feels like a dungeon and there's no sunlight and everything is bland, my mind is closed and I do not learn as effectively. MSB100 needs to have a seating overhaul as well; the chairs are half broken and excessively squeaky.",34.722126,-86.638197,Material Science Building
6oiz4str7xka,Material Science Building feels old. It stressed me out and I dread going to my science classes.,34.72214,-86.638294,Material Science Building
4cr9rte3aeb4,MSB 102 has no ventilation and no windows so it always reeks of sweat,34.722149,-86.638359,Material Science Building
7df6isz43uj3,MSB is getting a little old and out-dated,34.722149,-86.63836,Material Science Building
88l2mrb3oec7,both places feel like jail,34.722207,-86.638368,Material Science Building
9lr4lh3ory44,away from everything,34.72221,-86.638274,Material Science Building
3yg4tsw87i39,There is a classroom in MSB with no windows.,34.72221,-86.638367,Material Science Building
3cx4sa6xwc94,MSB classrooms are outdated,34.722213,-86.638339,Material Science Building
6lu8in9c7mm8,MSB classrooms just always felt old and cramped,34.722221,-86.63836,Material Science Building
6bz8nzz4mji8,"MSB has the problem of being too confining and rigid. Their is a distinct lack of windows in any of the classes and creates a more stale environment. Furthermore, some of the classrooms have only side tables and are often too small to work adequately at. Many of the chairs are missing backs, have not been oiled in a while, and are often a bit small.",34.722222,-86.638345,Material Science Building
48iot7yj3ap8,Several MSB classrooms lack windows and have aging technology that can make it difficult to learn.,34.72223,-86.638325,Material Science Building
4b8vl846w3b9,"MSB 112 and 113 have the nickname the dungeon for a reason. The tiny desks are awful to take notes on and tests are nightmarish. Also many of the desks are in poor condition and will absolutely ruin a sweater. As a physics major I have had at least 6 classes in one of these two and it is terrible. Also, the classrooms like MSB 102 somehow always feel stuffy. I think it is because they are always kind of warm.",34.722243,-86.638297,Material Science Building
8ki8o7bx6p87,"Freshman year, I had a class in the MSC, and I did not like having to take that walk from the BAB, and then back after Class.",34.722247,-86.638319,Material Science Building
8vk3nta8xgc7,The optics building has outdated classrooms that could use some improved seating,34.722252,-86.63851,Material Science Building
6bm3ecl4lkg8,"Shelby's Chemistry labs need to be cleaned really bad. I always feel gross up there. Also MSB is in need of an upkeep too, the study room there is no where near the par of Optics.",34.722257,-86.638353,Material Science Building
8of24gkm7ay7,The sloped stadium seating in MSB is not good for wheelchairs.,34.72226,-86.638454,Material Science Building
7lex3vxm6cu6,Building's old. Not enough lighting.,34.722267,-86.638239,Material Science Building
3oih6rzl3ie4,"Old building, doesn't feel necessarily conducive to learning",34.722287,-86.638434,Material Science Building
8f67l87xek87,"They are sad, interior rooms with no windows and little decoration. The seats are also uncomfortable.",34.722287,-86.638458,Material Science Building
3jn9sbd3lzi7,Outdated and hot,34.722296,-86.638427,Material Science Building
2vz6kgp7w3cb,Optics Building and MSB. Outdated.,34.722305,-86.638356,Material Science Building
4c6ksi7jzd44,Rusty appearance,34.722309,-86.638333,Material Science Building
2fg6tna8r28a,Dark,34.722315,-86.638074,Material Science Building
7hc6vdb2rpg7,In MSB cell service and wifi are always very spotty.,34.722318,-86.638407,Material Science Building
4wp6xuv74bt9,MSB100 is so dull and hard to focus in.,34.722327,-86.638234,Material Science Building
94pxv8ah9hs9,The chairs in Shelby are incredably old and are the built together desk chairs (table + chair stuck together). MSB lecture rooms are just falling apart plus there arent main classrooms there anyway and it is easy to get lost if it isn't the three rooms on the first floor main hallway. Also a lot of freshmen classes happen on the opposite side that their dorms are.,34.722327,-86.63837,Material Science Building
4g9h3gdp3979,"Very old, uncomfortable, and uninviting",34.722332,-86.638269,Material Science Building
7lfm3fue2w4i,"Awful chairs, no plugs to charge laptops or other vital devices. The COE's laptop requirements are essentially for a gaming laptop, which don't have enough battery to run through even one class, let alone multiple in a row. They're also 100% artificial lighting, made by awful looking light bulbs.",34.722336,-86.638293,Material Science Building
7iw4p6aox7dz,"Love the art department, but Wilson is NOT structured for proper artistic learning. We need a new art building.",34.722353,-86.638312,Material Science Building
99d2uji2cdr9,"Barely any windows or no natural lighting, feels dark",34.722355,-86.638302,Material Science Building
9si2gu4har4w,I struggle with the classes here.,34.722364,-86.63817,Material Science Building
2vm868x6bm43,The engineering builidng is soooo old.,34.722368,-86.640884,Material Science Building
36b3whb4dut7,The classrooms in MSB are unclean and gross. They also smell bad,34.722369,-86.638257,Material Science Building
34zmw9mnl8ga,"The small desks in the smaller lecture halls (not necessarily MSB 100, but MSB 113, for example) are hard to use during standardized tests. Between the test document, answer sheet, and scratch paper, plus a calculator, pencil, etc, it is a lot to juggle, especially in a timed test environment. There is no convenient place to put bags or jackets, so people are constantly knocking over their water bottles, bags, and books.",34.72237,-86.638212,Material Science Building
3yo4w6vp9a78,The sound quality equipment in room 100 needs help. Very hard to hear sometimes,34.722381,-86.638309,Material Science Building
4z4tow4dhf64,"They feel dark, uncormfortable, and they sometimes smell weird.",34.722386,-86.638117,Material Science Building
3jf8mue6wdv6,"MSB 100, 112, 113 are all bad classroom for learning environment",34.722386,-86.638164,Material Science Building
2uvz6jfz8kb6,Seatting arrangements are fixed and are uncomfortable for larger framed individuals; being squeezed between the seat and table top is not a comfortable experience and detracts from the learning experience,34.722388,-86.638282,Material Science Building
8ju494c9acv7,The seats in MSB 100 have started to degrade a bit and are generally uncomfortable. The lights directly above the projector screen ruin the contrast and make it harder to read what is being presented.,34.722405,-86.638127,Material Science Building
8o8hj7ftb9x9,"Most of it is because these rooms are smaller, more uncomfortable (seating, especially the stadium seating with tiny folding desks, see MSB 113, OKT S-105) and typically are dark and not updated feeling, Tech Hall always feels kinda gross, seen many roaches in it, very few windows",34.722408,-86.638163,Material Science Building
2gr6742nyg78,It is my class with Chronis and I hate going to that class so much,34.722418,-86.638232,Material Science Building
2vm868x6bm43,The engineering builidng is soooo old.,34.722423,-86.640361,Material Science Building
6t36gl6s7mr6,No outlets/poor desk space,34.722431,-86.638249,Material Science Building
8og3jez7suc4,There are not a lot of windows in MSB.,34.722433,-86.638243,Material Science Building
4b7stp3za4h3,"The classrooms underground feel very claustrophobic, letting no light in and the desks being tightly cramped in together.",34.722455,-86.638199,Material Science Building
3oh26oj2zu38,Engineering building is very depressing,34.722456,-86.64063,Material Science Building
8phg7lxo9jo4,"MSB has some very outdated classrooms; they were dark, cramped, and featured uncomfortable, sometimes broken chairs with desks unsuited to modern technology. Roberts Hall has nice classrooms, but they suffer from small size.",34.722463,-86.638172,Material Science Building
9dh3hpx3ehg3,"Morton hall has some of the most comfortable chairs and desks, Not to mention every seat has a charging port. Optics lab has the most interesting classes for the sake of what goes on there, and OKT has the machine shop which is easily the coolest classroom on the entire campus.",34.722694,-86.638452,Morton Hall
8phg7lxo9jo4,"The best classroom, by far, that I have been in was in Morton Hall. The classroom was spacious and clean. The SWIRLL building is also really cool and has nice technology.",34.725189,-86.646321,Morton Hall
3jf8mue6wdv6,Shelby and Morton have really good classrooms,34.725898,-86.641155,Morton Hall
4zv6ewh2m9a4,Very nice classrooms. Morton has good parking. Shelby is hit or miss because the imf is usually full,34.725964,-86.641488,Morton Hall
6br9gac6jro7,I love the classrooms in MSB just for aesthetic purposes. They have a bit more personality than the others. Morton has some really good classrooms that feel welcoming because of the carpet and the views out the windows.,34.725964,-86.64131,Morton Hall
93tid66uei2y,"There's different spots to go to (library). In general I like the environment at Wilson. I have been to Morton a couple of times and I like the space, the classrooms are nice.",34.729296,-86.640059,Morton Hall
4en9p6nem3s7,Nursing and Morton have the newest and nicest classrooms.,34.730085,-86.638746,Morton Hall
6m89us7ohc8a,"I like Mortan Hall because it has enough space where you can do your work. However, Roberts Hall has designs that looks less modernized and more like art.",34.730954,-86.639134,Morton Hall
98nvh3omb2xx,Morton hall is pretty updated and has a nice modern look to it.,34.732351,-86.641852,Morton Hall
92o3czj43i63,The rooms are clean and have comfortable seating arrangements.,34.73253,-86.641432,Morton Hall
9sb26jnl3iy8,"I love how Morton has rolling chairs that can lean backwards. I can easily fidget in those chairs, rocking back and forth in my seat or rotating side to side. This greatly improves my focus, as I'm on the autism spectrum and find it incredibly hard to sit still.",34.732535,-86.641479,Morton Hall
6xn4tpt7zn9a,New feeling.comfy chairs,34.732575,-86.641269,Morton Hall
66e4d4fzo3z4,"Newer building = nicer classrooms, also I like the openness of the rooms.",34.732578,-86.641425,Morton Hall
6ia36oik6ki9,"They have a wide space where you can do your work. Also, Roberts has color texture within their design which prevent everything from bring modernized",34.732605,-86.64142,Morton Hall
6cc6h4uma698,"Morton - theyÂ’re pretty snazzy, bright and airy.",34.732658,-86.641637,Morton Hall
8vk3nta8xgc7,They are the newest and most clean,34.732658,-86.641535,Morton Hall
8v3dgx9prb6a,"Clean, open, well-lit, easy to find",34.732664,-86.641805,Morton Hall
6k2wy6ecw884,"Feel clean, large desk space, charging stations near every desk,",34.732681,-86.641495,Morton Hall
63bjx9omd8z7,"Clean, Modern, and the colors aren't depressing",34.732686,-86.641667,Morton Hall
4ib6c8xir3l8,Windows! Lighting makes the learning environment feel better. SST 2nd floor labs are pretty good,34.732705,-86.641679,Morton Hall
2jv27fpx99h3,They are new and Morton is a nice design with a lot of windows and open space,34.732724,-86.641596,Morton Hall
